sequence,source_index,source_time_s,replay_cycle,capture_s,output_s,processing_ms,frame_age_ms,core_ms,distance_render_ms,depth_age_ms,depth_valid,depth_status,edge_pixels,valid_depth_edge_pixels
109,109,10.9,0,215325.6519649,215325.6580656,5.566100007854402,6.100700004026294,2.2520000056829304,1.94240000564605,0.0,True,ok,4890,4890
110,110,11.0,0,215325.6853381,215325.6917376,5.716199986636639,6.399499980034307,2.203699987148866,2.122700010659173,0.0,True,ok,4848,4848
111,111,11.100000000000001,0,215325.7184548,215325.7256098,6.683399988105521,7.154999999329448,3.3708999981172383,1.959399989573285,0.0,True,ok,5030,5030
112,112,11.200000000000001,0,215325.7518779,215325.75806,5.628699989756569,6.182099983561784,2.1468999912030995,1.9181999959982932,0.0,True,ok,5114,5114
113,113,11.3,0,215325.7855253,215325.7922501,6.058700004359707,6.724800012307242,2.1526999771595,2.2071000130381435,0.0,True,ok,5293,5293
114,114,11.4,0,215325.8184422,215325.8251175,5.933400010690093,6.675300013739616,2.3247000062838197,2.2194999910425395,0.0,True,ok,5423,5423
115,115,11.5,0,215325.8516572,215325.8587271,6.361200008541346,7.0699000207241625,2.3449000145774335,2.4197000020649284,0.0,True,ok,5340,5340
116,116,11.600000000000001,0,215325.8854001,215325.8919956,5.953699990641326,6.595499988179654,2.282199973706156,2.2606000129599124,0.0,True,ok,5279,5279
117,117,11.700000000000001,0,215325.9183506,215325.9246466,5.760900006862357,6.296000006841496,2.135999995516613,2.213100000517443,0.0,True,ok,5498,5498
118,118,11.8,0,215325.9520891,215325.9589829,6.275199993979186,6.8937999894842505,2.7858999965246767,2.066499990178272,0.0,True,ok,5517,5517
119,119,11.9,0,215325.9850137,215325.9915669,5.814599979203194,6.553199986228719,2.2093000006861985,2.1204999939072877,0.0,True,ok,5266,5266
120,0,0.0,1,215326.0207186,215326.0272445,5.957199988188222,6.525900011183694,2.276100014569238,2.221899980213493,0.0,True,ok,4708,4708
121,1,0.1,1,215326.0522536,215326.0596391,6.255100015550852,7.385500008240342,2.6800999767147005,2.147899998817593,0.0,True,ok,4681,4681
122,2,0.2,1,215326.0853509,215326.0912616,5.495599994901568,5.910700012464076,2.2376000124495476,1.8962000031024218,0.0,True,ok,4360,4360
123,3,0.30000000000000004,1,215326.1186793,215326.1251684,5.829100002301857,6.489099992904812,2.2544999956153333,2.216299995779991,0.0,True,ok,4532,4532
124,4,0.4,1,215326.1519704,215326.1591566,6.598500011023134,7.186200004070997,2.5818999856710434,2.4439000117126852,0.0,True,ok,4533,4533
125,5,0.5,1,215326.1854253,215326.1935693,7.180099986726418,8.143999992171302,2.218600013293326,3.4228000149596483,33.45489999628626,True,ok,4334,4334
126,6,0.6000000000000001,1,215326.2186252,215326.2250968,5.789899994852021,6.4715999760665,2.3080999962985516,2.0824999955948442,0.0,True,ok,4462,4462
127,7,0.7000000000000001,1,215326.2520824,215326.2592353,6.435799994505942,7.152900012442842,2.495900000212714,2.4961000017356128,0.0,True,ok,4479,4479
128,8,0.8,1,215326.2851435,215326.2918695,6.004000024404377,6.726000021444634,2.299699990544468,2.131399989593774,0.0,True,ok,4534,4534
129,9,0.9,1,215326.31835,215326.3251237,5.959799978882074,6.773700006306171,2.270400000270456,2.2804999898653477,0.0,True,ok,4491,4491
130,10,1.0,1,215326.3519135,215326.3587922,6.113699986599386,6.8786999909207225,2.5372999953106046,2.192500018281862,0.0,True,ok,4600,4600
131,11,1.1,1,215326.3854383,215326.3916953,5.583799997111782,6.257000000914559,2.1844999864697456,1.9854999845847487,33.524800004670396,True,ok,4781,4781
132,12,1.2000000000000002,1,215326.4184053,215326.4257321,6.41830000677146,7.326799997827038,2.4412999919150025,2.3452999885194004,0.0,True,ok,5044,5044
133,13,1.3,1,215326.4516428,215326.4579045,5.685900017851964,6.261700007598847,2.1628999966196716,2.153599984012544,0.0,True,ok,4620,4620
134,14,1.4000000000000001,1,215326.4851213,215326.4918915,6.088099995395169,6.770199979655445,2.306199981831014,2.3246000055223703,33.47850000136532,True,ok,4785,4785
135,15,1.5,1,215326.518719,215326.5255401,6.094500015024096,6.821099988883361,2.727500017499551,1.9551000150386244,0.0,True,ok,5045,5045
136,16,1.6,1,215326.5518836,215326.5584599,6.043900008080527,6.5762999875005335,2.357499994104728,2.1997000148985535,0.0,True,ok,5382,5382
137,17,1.7000000000000002,1,215326.5851988,215326.5915998,5.7234000123571604,6.401000020559877,2.2412000107578933,1.9911999988835305,0.0,True,ok,5312,5312
138,18,1.8,1,215326.6182964,215326.6245827,5.707600008463487,6.286299991188571,2.2022000048309565,1.982499990845099,0.0,True,ok,5363,5363
139,19,1.9000000000000001,1,215326.6517469,215326.6582674,5.868200008990243,6.52049999916926,2.2760000138077885,2.1019999985583127,0.0,True,ok,5455,5455
140,20,2.0,1,215326.6853234,215326.691799,5.811999988509342,6.475600006524473,2.196899993577972,2.156800008378923,33.57649999088608,True,ok,5508,5508
141,21,2.1,1,215326.718761,215326.7253341,5.800299986731261,6.573099992237985,2.3295000137295574,1.8851000058930367,0.0,True,ok,5300,5300
142,22,2.2,1,215326.7523044,215326.758775,5.702199996449053,6.470599997555837,2.170399995520711,2.074399992125109,0.0,True,ok,5384,5384
143,23,2.3000000000000003,1,215326.7852788,215326.7928602,6.975700001930818,7.58139998652041,3.109000012045726,2.0770999835804105,0.0,True,ok,5355,5355
144,24,2.4000000000000004,1,215326.8185722,215326.8262784,6.767699989723042,7.7062000054866076,2.8159999928902835,2.272500016260892,33.29339998890646,True,ok,5072,5072
145,25,2.5,1,215326.8520854,215326.8586994,6.083400017814711,6.614000012632459,2.3372000141534954,2.243900002213195,0.0,True,ok,4851,4851
